249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246
12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249
249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246
12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249
249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246
12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249
249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246
12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249
249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246
12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249
249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246
12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249
249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246
12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249
249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246	249	249	249	249	249	246	249	249	249	249	246	246
12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249	249	12	12	249	249	249	249	12	249	249	249	249
249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246
12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249
249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246
12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249
249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246	249	249	249	249	249	246	249	249	249	246	246	246
12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249	249	12	12	12	249	249	249	12	249	249	249	249
