250	250	250	249	250	250	250	249	250	250	250
250	249	250	249	250	249	250	249	250	249	250
250	106	250	249	250	106	250	249	250	106	250
250	118	250	250	250	118	250	250	250	118	250
250	118	250	249	250	118	250	249	250	118	250
250	89	250	106	250	89	250	106	250	89	250
250	106	250	118	250	106	250	118	250	106	250
250	244	250	118	250	244	250	118	250	244	250
250	106	250	89	250	106	250	89	250	106	250
250	118	250	106	250	118	250	106	250	118	250
250	118	250	244	250	118	250	244	250	118	250
250	89	250	106	250	89	250	106	250	89	250
250	106	250	118	250	106	250	118	250	106	250
250	244	250	118	250	244	250	118	250	244	250
250	106	250	89	250	106	250	89	250	106	250
250	118	250	106	250	118	250	106	250	118	250
250	118	250	244	250	118	250	244	250	118	250
250	89	250	249	250	89	250	249	250	89	250
250	106	250	249	250	106	250	249	250	106	250
249	244	249	249	249	244	249	249	249	244	249
