250	249	249	249	249	249	249	250	249	249	249	249	249	249	250
250	249	249	249	249	249	249	250	249	65	249	65	249	65	250
250	249	249	249	249	249	249	250	65	249	65	249	65	249	250
250	16	16	16	55	55	55	250	249	65	249	65	249	65	250
250	249	249	249	118	118	118	250	65	249	65	249	65	249	250
250	249	249	249	249	249	249	250	249	65	249	65	249	65	250
250	249	249	249	249	249	249	250	65	249	65	249	65	249	250
250	249	249	249	249	249	249	250	249	65	249	65	249	65	250
250	249	249	249	249	249	249	250	65	249	65	249	65	249	250
250	16	16	16	55	55	55	250	249	65	249	65	249	65	250
250	249	249	249	118	118	118	250	65	249	65	249	65	249	250
250	249	249	249	249	249	249	250	249	65	249	65	249	65	250
250	249	249	249	249	249	249	250	65	249	65	249	65	249	250
250	249	249	249	249	249	249	250	249	249	249	249	249	249	250
250	249	249	249	249	249	249	250	249	249	249	249	249	249	250
250	249	249	249	249	249	249	250	249	249	249	249	249	249	250
250	249	65	249	65	249	65	250	249	249	249	249	249	249	250
250	65	249	65	249	65	249	250	249	249	249	249	249	249	250
250	249	65	249	65	249	65	250	16	16	16	55	55	55	250
250	65	249	65	249	65	249	250	249	249	249	118	118	118	250
250	249	65	249	65	249	65	250	249	249	249	249	249	249	250
250	65	249	65	249	65	249	250	249	249	249	249	249	249	250
250	249	65	249	65	249	65	250	249	249	249	249	249	249	250
250	65	249	65	249	65	249	250	249	249	249	249	249	249	250
250	249	65	249	65	249	65	250	16	16	16	55	55	55	250
250	65	249	65	249	65	249	250	249	249	249	118	118	118	250
250	249	65	249	65	249	65	250	249	249	249	249	249	249	250
250	65	249	65	249	65	249	250	249	249	249	249	249	249	250
250	249	249	249	249	249	249	250	249	249	249	249	249	249	250
