65	249	246	249	12	249	65
249	249	249	249	249	249	249
65	246	249	65	249	12	65
249	249	249	249	249	249	249
246	249	249	65	249	249	12
249	249	249	249	249	249	249
65	249	249	65	249	249	65
249	249	249	249	249	249	249
65	249	249	65	249	249	65
249	249	249	249	249	249	249
65	249	249	65	249	249	65
249	249	249	249	249	249	249
65	249	246	249	12	249	65
249	249	249	249	249	249	249
65	246	249	65	249	12	65
249	249	249	249	249	249	249
246	249	249	65	249	249	12
249	249	249	249	249	249	249
65	249	249	65	249	249	65
249	249	249	249	249	249	249
65	249	249	65	249	249	65
249	249	249	249	249	249	249
65	249	249	65	249	249	65
