250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	246	249	95	249	95	249	95	249	246	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	246	249	249	95	249	95	249	95	246	249	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	12	249	95	249	95	249	95	249	12	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	249	12	95	249	95	249	95	249	249	12	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	246	249	95	249	95	249	95	249	246	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	246	249	249	95	249	95	249	95	246	249	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	12	249	95	249	95	249	95	249	12	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	249	12	95	249	95	249	95	249	249	12	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	246	249	95	249	95	249	95	249	246	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	246	249	249	95	249	95	249	95	246	249	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	12	249	95	249	95	249	95	249	12	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	249	12	95	249	95	249	95	249	249	12	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	246	249	95	249	95	249	95	249	246	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	246	249	249	95	249	95	249	95	246	249	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	12	249	95	249	95	249	95	249	12	249	95	249	95	249	95
250	249	250	249	250	249	249	249	250	249	250	249	250	249	249	249	250	249	250	249	250
95	249	95	249	95	249	249	12	95	249	95	249	95	249	249	12	95	249	95	249	95
