249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
250	249	250	249	249	249	250	249	250	249	249	249
95	249	95	249	249	249	95	249	95	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249
95	249	95	249	249	249	95	249	95	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249
95	249	95	249	249	249	95	249	95	249	249	249
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	95	249	95	249	249	249	95	249	95
