249	249	249	250	249	249	249	249	249	250	249	249	249	249	249	250
249	249	249	250	249	249	249	249	249	250	249	249	249	249	249	250
249	249	249	250	249	249	249	249	249	250	249	249	249	249	249	250
250	249	249	95	249	249	250	249	249	95	249	249	250	249	249	95
250	249	249	9	249	249	250	249	249	9	249	249	250	249	249	9
250	249	249	250	249	249	250	249	249	250	249	249	250	249	249	250
95	249	249	250	249	249	95	249	249	250	249	249	95	249	249	250
9	249	249	250	249	249	9	249	249	250	249	249	9	249	249	250
250	249	249	250	249	249	250	249	249	250	249	249	250	249	249	250
250	249	249	9	249	249	250	249	249	9	249	249	250	249	249	9
250	249	249	250	249	249	250	249	249	250	249	249	250	249	249	250
250	249	249	249	249	249	250	249	249	249	249	249	250	249	249	249
9	249	249	249	249	249	9	249	249	249	249	249	9	249	249	249
250	249	249	249	249	249	250	249	249	249	249	249	250	249	249	249
