250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
249	249	249	250	249	250	249	249	249	250	249	250	249
249	249	249	250	65	250	65	249	249	250	65	250	65
249	249	249	250	249	250	249	249	249	250	249	250	249
249	249	249	250	65	250	65	249	249	250	65	250	65
249	249	249	250	249	250	249	249	249	250	249	250	249
249	249	249	250	65	250	65	249	249	250	65	250	65
250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249	249
250	65	250	65	249	249	250	65	250	65	249	249	249
